Entry           Description        
00  MONOLITHIC STRAIGHT             
01  1/4 TURN, SERPENTINE             
02  MONOLITHIC, SERPENTINE           
03  MONOLITHIC           
04  1/4 TURN, MONOLITHIC             
05  1/4 TURN             
06  STRAIGHT SEAMS       
07  SERPENTINE SEAMS     
08  1/4 TURN, ASHLAR     
09  NON-DIRECTIONAL    
10  1/4 TURN,HERRINGBONE             
11  1/4 TURN,ASHLAR,HERRINGBONE     
12  1/4 TURN,BRICK,ASHLAR,MONOLITHIC 
13  1/4 TURN,BRICK       
14  1/4 TURN,BRICK,ASHLAR,NON-DIRECTIONAL 
15  ASHLAR       
16  1/4 TURN,ASHLAR,NON-DIRECTIONAL       
17  1/4 TURN,MONOLITHIC,NON-DIRECTIONAL   
18  1/4 TURN,BRICK,ASHLAR    
19  1/4 TURN,ASHLAR,MONOLITHIC           
20  1/4 TURN,BRICK,ASHLAR,MONO,NON-DIR   
21  1/4 TURN,BRICK,NON-DIRECTIONAL       
22  1/4 TURN,NON-DIRECTIONAL             
23  BRICK,NON-DIRECTIONAL    
25  BRICK       
26  ASHLAR,HERRINGBONE       
27  1/4 TURN,BRICK,HERRINGBONE           
28  1/4 TURN,ASHLAR,BRICK,HERRINGBONE     
29  HERRINGBONE  
30  1/4 TURN,BRICK,MONOLITHIC 
31  ASHLAR,BRICK             
32  BRICK,HERRINGBONE         
33  ASHLAR,BRICK,HERRINGBONE 
34  PER DESIGN LAYOUT         
99  SAMPLE MATERIAL     
